"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","20,272.0","19,239.0","20,332.5","19,196.4","","5.37%"
"10/01/2024","19,239.0","19,516.4","19,905.7","19,236.6","","-1.42%"
"09/01/2024","19,516.4","19,292.2","19,597.3","18,513.1","","1.16%"
"08/01/2024","19,292.2","18,710.0","19,298.0","17,561.5","","3.11%"
"07/01/2024","18,710.0","18,026.5","18,841.5","17,928.8","","3.79%"
"06/01/2024","18,026.5","18,083.7","18,189.4","17,713.5","","-0.32%"
"05/01/2024","18,083.7","17,603.3","18,421.9","17,539.8","","2.73%"
"04/01/2024","17,603.3","18,312.7","18,315.2","17,336.8","","-3.87%"
"03/01/2024","18,312.7","17,607.4","18,342.2","17,603.9","","4.01%"
"02/01/2024","17,607.4","16,911.1","17,659.2","16,906.2","","4.12%"
"01/01/2024","16,911.1","16,852.9","17,123.2","16,462.9","","0.35%"
"12/01/2023","16,852.9","16,088.8","16,933.6","16,062.0","","4.75%"
"11/01/2023","16,088.8","14,919.2","16,094.3","14,904.9","","7.84%"
"10/01/2023","14,919.2","15,398.2","15,618.9","14,638.4","","-3.11%"
"09/01/2023","15,398.2","16,000.4","16,152.4","15,288.5","","-3.76%"
"08/01/2023","16,000.4","16,427.3","16,427.3","15,626.9","","-2.60%"
"07/01/2023","16,427.3","15,875.9","16,458.9","15,558.0","","3.47%"
"06/01/2023","15,875.9","14,887.1","15,908.7","14,872.3","","6.64%"
"05/01/2023","14,887.1","15,545.9","15,622.6","14,810.6","","-4.24%"
"04/01/2023","15,545.9","15,374.9","15,710.5","15,201.1","","1.11%"
"03/01/2023","15,374.9","15,429.0","15,772.6","14,471.1","","-0.35%"
"02/01/2023","15,429.0","16,036.4","16,222.2","15,347.3","","-3.79%"
"01/01/2023","16,036.4","15,184.3","16,037.0","15,053.2","","5.61%"
"12/01/2022","15,184.3","15,780.0","15,854.1","14,866.8","","-3.78%"
"11/01/2022","15,780.0","14,747.0","15,780.0","14,297.1","","7.00%"
"10/01/2022","14,747.0","13,472.2","14,825.0","13,278.6","","9.46%"
"09/01/2022","13,472.2","14,801.2","15,397.1","13,467.0","","-8.98%"
"08/01/2022","14,801.2","15,327.7","15,897.7","14,801.2","","-3.43%"
"07/01/2022","15,327.7","14,487.6","15,354.7","13,988.9","","5.80%"
"06/01/2022","14,487.6","15,827.0","16,022.8","13,993.2","","-8.46%"
"05/01/2022","15,827.0","15,615.2","16,139.7","14,695.7","","1.36%"
"04/01/2022","15,615.2","16,670.9","16,889.4","15,593.2","","-6.33%"
"03/01/2022","16,670.9","16,313.9","17,034.9","15,621.8","","2.19%"
"02/01/2022","16,313.9","16,659.8","17,160.3","15,571.4","","-2.08%"
"01/01/2022","16,659.8","17,164.1","17,442.5","15,816.1","","-2.94%"
"12/01/2021","17,164.1","16,319.0","17,238.7","16,133.2","","5.18%"
"11/01/2021","16,319.0","17,016.4","17,364.3","16,303.3","","-4.10%"
"10/01/2021","17,016.4","16,144.9","17,228.3","16,094.5","","5.40%"
"09/01/2021","16,144.9","16,806.4","16,944.5","15,988.0","","-3.94%"
"08/01/2021","16,806.4","16,602.3","16,887.2","16,345.4","","1.23%"
"07/01/2021","16,602.3","16,555.3","16,750.7","15,954.7","","0.28%"
"06/01/2021","16,555.3","16,555.7","16,727.0","16,142.5","","0.00%"
"05/01/2021","16,555.7","16,219.3","16,685.9","16,030.3","","2.07%"
"04/01/2021","16,219.3","15,601.7","16,413.3","15,601.7","","3.96%"
"03/01/2021","15,601.7","15,010.5","15,797.9","14,765.5","","3.94%"
"02/01/2021","15,010.5","14,397.2","15,566.5","14,397.2","","4.26%"
"01/01/2021","14,397.2","14,524.8","15,129.1","14,258.2","","-0.88%"
"12/01/2020","14,524.8","14,006.5","14,533.2","14,006.5","","3.70%"
"11/01/2020","14,006.5","12,429.3","14,271.1","12,429.3","","12.69%"
"10/01/2020","12,429.3","12,701.9","13,350.6","12,293.8","","-2.15%"
"09/01/2020","12,701.9","13,032.0","13,299.7","12,229.0","","-2.63%"
"08/01/2020","13,045.6","12,513.2","13,174.0","12,470.9","","4.66%"
"07/01/2020","12,465.0","11,907.8","12,688.7","11,831.0","","4.80%"
"06/01/2020","11,893.8","11,799.9","12,836.7","11,525.4","","0.77%"
"05/01/2020","11,803.0","11,158.9","11,939.7","10,551.5","","3.79%"
"04/01/2020","11,372.3","9,917.3","11,675.3","9,766.8","","10.39%"
"03/01/2020","10,301.9","12,441.4","13,015.7","8,664.9","","-16.79%"
"02/01/2020","12,381.0","13,655.9","14,148.2","12,024.5","","-9.06%"
"01/01/2020","13,614.1","13,913.0","14,183.3","13,573.0","","-2.15%"
"12/01/2019","13,913.0","13,554.3","13,978.6","13,280.0","","2.72%"
"11/01/2019","13,545.2","13,231.2","13,611.5","13,231.2","","2.83%"
"10/01/2019","13,171.8","13,002.3","13,248.6","12,482.0","","1.28%"
"09/01/2019","13,004.7","12,720.2","13,177.9","12,600.7","","2.10%"
"08/01/2019","12,736.9","13,066.6","13,154.4","12,325.9","","-2.52%"
"07/01/2019","13,066.6","13,049.7","13,255.1","12,979.4","","0.13%"
"06/01/2019","13,049.7","12,288.5","13,095.6","12,273.1","","6.40%"
"05/01/2019","12,264.5","13,066.1","13,069.1","12,238.4","","-6.10%"
"04/01/2019","13,060.6","12,775.8","13,067.0","12,773.5","","2.86%"
"03/01/2019","12,696.9","12,698.2","12,854.8","12,336.5","","0.41%"
"02/01/2019","12,644.8","12,312.3","12,769.6","12,186.7","","2.81%"
"01/01/2019","12,299.0","11,238.8","12,315.1","11,169.5","","8.13%"
"12/01/2018","11,374.4","12,602.9","12,624.8","10,723.7","","-8.69%"
"11/01/2018","12,457.5","12,208.1","12,682.1","12,016.1","","2.04%"
"10/01/2018","12,208.1","13,146.3","13,175.6","11,820.3","","-6.68%"
"09/01/2018","13,082.5","12,976.0","13,261.8","12,873.4","","0.50%"
"08/01/2018","13,016.9","12,949.9","13,148.4","12,648.3","","0.41%"
"07/01/2018","12,963.3","12,430.7","12,989.5","12,400.5","","3.67%"
"06/01/2018","12,504.2","12,596.7","12,889.0","12,377.0","","-0.18%"
"05/01/2018","12,527.1","12,490.2","12,853.3","12,255.9","","0.09%"
"04/01/2018","12,515.4","12,432.9","12,774.4","12,107.7","","0.51%"
"03/01/2018","12,452.1","12,644.4","12,963.4","12,166.5","","-1.58%"
"02/01/2018","12,652.5","13,339.0","13,414.8","12,048.7","","-5.35%"
"01/01/2018","13,368.0","12,860.9","13,637.0","12,842.3","","4.37%"
"12/01/2017","12,808.8","12,636.7","12,886.1","12,463.8","","1.43%"
"11/01/2017","12,627.8","12,383.9","12,673.7","12,178.9","","2.32%"
"10/01/2017","12,341.0","12,209.2","12,443.8","12,200.1","","1.08%"
"09/01/2017","12,209.2","11,898.0","12,209.5","11,783.9","","2.81%"
"08/01/2017","11,875.7","12,006.7","12,019.9","11,670.9","","-0.77%"
"07/01/2017","11,967.7","11,801.5","11,989.5","11,684.8","","1.75%"
"06/01/2017","11,761.7","11,616.2","11,837.6","11,603.4","","1.41%"
"05/01/2017","11,598.0","11,550.4","11,666.9","11,374.6","","0.54%"
"04/01/2017","11,536.1","11,495.3","11,653.2","11,324.5","","0.38%"
"03/01/2017","11,492.9","11,593.2","11,687.1","11,324.5","","-0.17%"
"02/01/2017","11,512.4","11,244.8","11,590.4","11,171.6","","2.58%"
"01/01/2017","11,223.0","11,138.9","11,344.7","11,094.3","","1.50%"
"12/01/2016","11,056.9","10,860.4","11,256.1","10,812.8","","2.02%"
"11/01/2016","10,838.5","10,508.0","10,890.0","10,281.5","","3.40%"
"10/01/2016","10,481.9","10,721.9","10,721.9","10,425.9","","-2.24%"
"09/01/2016","10,721.7","10,762.5","10,903.9","10,487.8","","-0.40%"
"08/01/2016","10,764.8","10,768.8","10,892.1","10,619.4","","-0.19%"
"07/01/2016","10,785.5","10,495.1","10,815.4","10,308.2","","2.82%"
"06/01/2016","10,489.8","10,385.9","10,648.0","9,918.7","","0.47%"
"05/01/2016","10,441.0","10,450.1","10,503.4","10,119.6","","0.04%"
"04/01/2016","10,436.9","10,132.6","10,593.2","10,004.8","","2.25%"
"03/01/2016","10,207.4","9,626.9","10,281.7","9,614.0","","6.78%"
"02/01/2016","9,559.5","9,578.9","9,682.9","8,944.0","","-0.76%"
"01/01/2016","9,632.7","10,020.0","10,040.0","8,938.0","","-5.03%"
"12/01/2015","10,143.4","10,447.1","10,523.8","9,880.4","","-2.56%"
"11/01/2015","10,409.6","10,474.6","10,641.6","10,141.5","","-0.49%"
"10/01/2015","10,461.0","9,832.3","10,538.2","9,697.3","","6.75%"
"09/01/2015","9,799.7","10,176.5","10,362.3","9,565.2","","-3.70%"
"08/01/2015","10,176.5","10,883.5","10,916.2","9,509.6","","-6.49%"
"07/01/2015","10,882.3","10,844.5","11,032.6","10,622.3","","0.71%"
"06/01/2015","10,805.2","11,081.7","11,170.8","10,768.6","","-2.27%"
"05/01/2015","11,056.3","11,075.0","11,254.9","10,961.2","","0.06%"
"04/01/2015","11,049.7","10,906.1","11,249.0","10,834.0","","1.38%"
"03/01/2015","10,899.2","11,053.7","11,115.6","10,659.0","","-1.48%"
"02/01/2015","11,062.8","10,568.0","11,142.6","10,495.7","","4.99%"
"01/01/2015","10,537.2","10,859.8","10,889.2","10,442.8","","-2.79%"
"12/01/2014","10,839.2","10,933.1","11,008.5","10,360.0","","-1.06%"
"11/01/2014","10,955.4","10,834.4","11,068.3","10,704.6","","1.02%"
"10/01/2014","10,845.0","10,688.6","10,846.1","9,886.1","","1.33%"
"09/01/2014","10,702.9","11,050.6","11,108.4","10,685.0","","-3.11%"
"08/01/2014","11,046.3","10,699.8","11,054.2","10,557.6","","2.98%"
"07/01/2014","10,726.4","11,002.4","11,105.9","10,726.4","","-2.30%"
"06/01/2014","10,979.4","10,760.5","11,025.9","10,730.0","","2.07%"
"05/01/2014","10,756.3","10,626.5","10,760.9","10,519.0","","1.21%"
"04/01/2014","10,627.2","10,538.4","10,669.4","10,271.4","","0.94%"
"03/01/2014","10,527.8","10,349.3","10,550.2","10,272.1","","0.98%"
"02/01/2014","10,425.9","9,967.7","10,471.6","9,732.5","","4.60%"
"01/01/2014","9,967.6","10,352.7","10,401.8","9,908.0","","-4.16%"
"12/01/2013","10,400.3","10,173.8","10,406.8","9,925.6","","2.13%"
"11/01/2013","10,183.2","10,010.3","10,229.6","9,909.5","","1.73%"
"10/01/2013","10,009.6","9,624.2","10,127.6","9,441.7","","4.04%"
"09/01/2013","9,621.2","9,357.8","9,906.3","9,296.3","","3.78%"
"08/01/2013","9,270.7","9,617.3","9,690.1","9,246.9","","-3.01%"
"07/01/2013","9,558.8","9,154.3","9,682.1","9,074.6","","4.90%"
"06/01/2013","9,112.7","9,317.4","9,412.0","8,814.8","","-2.04%"
"05/01/2013","9,302.3","9,248.5","9,695.5","9,169.8","","0.27%"
"04/01/2013","9,276.9","9,098.1","9,276.9","8,890.5","","1.87%"
"03/01/2013","9,107.0","8,827.8","9,128.9","8,779.8","","2.69%"
"02/01/2013","8,868.7","8,931.5","9,004.4","8,700.7","","-0.17%"
"01/01/2013","8,883.8","8,571.5","8,944.3","8,571.1","","5.21%"
"12/01/2012","8,443.5","8,260.4","8,519.1","8,205.3","","2.22%"
"11/01/2012","8,260.4","8,231.7","8,339.8","7,841.8","","0.47%"
"10/01/2012","8,221.4","8,276.1","8,470.7","8,152.8","","-0.36%"
"09/01/2012","8,251.0","8,012.9","8,515.6","7,960.9","","2.95%"
"08/01/2012","8,014.9","7,891.3","8,160.4","7,710.8","","1.92%"
"07/01/2012","7,863.9","7,810.8","7,939.1","7,538.2","","0.80%"
"06/01/2012","7,801.8","7,368.4","7,801.8","7,222.9","","4.53%"
"05/01/2012","7,464.0","8,115.1","8,211.6","7,387.4","","-8.07%"
"04/01/2012","8,119.1","8,206.9","8,305.7","7,835.3","","-1.07%"
"03/01/2012","8,206.9","8,136.1","8,327.7","7,898.6","","1.15%"
"02/01/2012","8,113.2","7,838.5","8,210.3","7,838.5","","3.50%"
"01/01/2012","7,838.5","7,477.0","7,929.8","7,459.4","","4.83%"
"12/01/2011","7,477.0","7,484.5","7,596.1","7,129.8","","-0.10%"
"11/01/2011","7,484.5","7,565.0","7,681.2","6,898.1","","-1.06%"
"10/01/2011","7,565.0","6,791.6","7,864.5","6,414.9","","11.39%"
"09/01/2011","6,791.6","7,528.4","7,584.7","6,641.3","","-9.79%"
"08/01/2011","7,528.4","8,079.4","8,172.3","6,827.1","","-6.82%"
"07/01/2011","8,079.4","8,319.1","8,496.4","8,011.4","","-2.88%"
"06/01/2011","8,319.1","8,477.3","8,477.3","7,901.1","","-1.87%"
"05/01/2011","8,477.3","8,671.4","8,718.2","8,208.7","","-2.24%"
"04/01/2011","8,671.4","8,405.0","8,678.1","8,205.8","","3.17%"
"03/01/2011","8,405.0","8,438.5","8,470.4","7,873.3","","-0.40%"
"02/01/2011","8,438.5","8,139.2","8,520.3","8,139.2","","3.68%"
"01/01/2011","8,139.2","7,964.0","8,222.5","7,909.3","","2.20%"
"12/01/2010","7,964.0","7,430.9","7,982.6","7,430.9","","7.17%"
"11/01/2010","7,430.9","7,513.4","7,817.2","7,385.6","","-1.10%"
"10/01/2010","7,513.4","7,281.1","7,615.2","7,240.2","","3.19%"
"09/01/2010","7,281.1","6,704.2","7,376.9","6,704.2","","8.61%"
"08/01/2010","6,704.1","6,999.1","7,196.5","6,594.9","","-4.21%"